Batch,Average Reward
2629,-4.125630855560303
2632,-3.7145485877990723
2635,-3.7489421367645264
2638,-3.957217216491699
2641,-3.815284490585327
2644,-3.8336048126220703
2647,-4.5767035484313965
2650,-4.118274211883545
2653,-4.4415459632873535
2656,-3.041092872619629
2659,-4.2563323974609375
2662,-4.5132246017456055
2665,-4.195320129394531
2668,-3.852247476577759
2671,-4.141501426696777
2674,-4.264291763305664
2677,-3.7367188930511475
2680,-4.037220001220703
2683,-4.140705585479736
2686,-3.955700397491455
2689,-3.5427405834198
2692,-3.821209192276001
2695,-3.687199354171753
2698,-4.1567254066467285
2701,-3.5355143547058105
2704,-4.030030250549316
2707,-4.022948265075684
2710,-3.9150209426879883
2713,-3.846498727798462
2716,-3.664422035217285
2719,-4.740706443786621
2722,-4.062058448791504
2725,-3.9839606285095215
2728,-4.099514007568359
2731,-3.8721446990966797
2734,-4.075259208679199
2737,-4.081982135772705
2740,-3.188662528991699
2743,-3.6763811111450195
2746,-4.201020240783691
2749,-3.9468934535980225
2752,-4.100414752960205
2755,-4.1513495445251465
2758,-4.906093120574951
2761,-3.580381393432617
2764,-4.34358549118042
2767,-3.9848458766937256
2770,-4.036391258239746
2773,-5.242576599121094
2776,-4.362727642059326
2779,-3.7667593955993652
2782,-3.7072465419769287
2785,-4.305971622467041
2788,-3.9422895908355713
2791,-4.491969108581543
2794,-4.579395294189453
2797,-3.7460899353027344
2800,-3.696206569671631
2803,-3.914139747619629
2806,-3.8529438972473145
2809,-3.512930154800415
2812,-3.789478302001953
2815,-4.716964244842529
2818,-4.241915225982666
2821,-3.589185953140259
2824,-3.685016632080078
2827,-3.9896955490112305
2830,-4.335205078125
2833,-4.727262496948242
2836,-3.706108331680298
2839,-4.019796848297119
2842,-3.945885419845581
2845,-3.951107978820801
2848,-3.75457501411438
2851,-4.338137149810791
2854,-4.413998603820801
2857,-4.669925689697266
2860,-4.155726909637451
2863,-3.9165313243865967
2866,-3.8219194412231445
2869,-4.063330173492432
2872,-3.505801200866699
2875,-3.6553094387054443
2878,-4.242478370666504
2881,-3.5529425144195557
2884,-4.009088039398193
2887,-3.629998207092285
2890,-4.206226825714111
2893,-3.882305145263672
2896,-4.106290817260742
2899,-3.9334704875946045
2902,-3.5956311225891113
2905,-3.6583545207977295
2908,-4.2480244636535645
2911,-3.897470235824585
2914,-3.354020357131958
2917,-3.637644052505493
2920,-3.7424142360687256
2923,-4.187997817993164
2926,-4.371420860290527
2929,-3.629187822341919
2932,-3.8268346786499023
2935,-3.853269338607788
2938,-4.252204418182373
2941,-3.764207124710083
2944,-4.537278175354004
2947,-3.8051869869232178
2950,-3.748063087463379
2953,-4.05001974105835
2956,-4.891331195831299
2959,-4.16560697555542
2962,-3.9269003868103027
2965,-3.52109432220459
2968,-4.327246189117432
2971,-4.049391269683838
2974,-4.076496124267578
2977,-4.970248699188232
2980,-3.838827133178711
2983,-3.447695732116699
2986,-4.092257976531982
2989,-3.512484550476074
2992,-3.4222095012664795
2995,-4.016125202178955
2998,-3.515730857849121
3001,-4.102164268493652
3004,-4.473674774169922
3007,-4.094625949859619
3010,-3.6133244037628174
3013,-3.8250765800476074
3016,-3.6401286125183105
3019,-3.802912950515747
3022,-4.12819242477417
3025,-3.4301557540893555
3028,-3.5334229469299316
3031,-4.68060302734375
3034,-3.4289724826812744
3037,-3.711533308029175
3040,-4.369876861572266
3043,-4.048608779907227
3046,-4.031789779663086
3049,-4.637935161590576
3052,-4.109291076660156
3055,-3.4158477783203125
3058,-3.4562578201293945
3061,-4.9530930519104
3064,-3.5712971687316895
3067,-3.5502562522888184
3070,-3.928287982940674
3073,-3.8872056007385254
3076,-3.378861427307129
3079,-5.2372331619262695
3082,-4.981325149536133
3085,-3.7413642406463623
3088,-4.024249076843262
3091,-3.6577813625335693
3094,-4.708715915679932
3097,-3.652017593383789
3100,-3.8849427700042725
3103,-3.594670057296753
3106,-4.206822872161865
3109,-4.544783115386963
3112,-3.8875858783721924
3115,-4.282414436340332
3118,-3.93633770942688
3121,-4.9307541847229
3124,-3.7936789989471436
3127,-3.6051876544952393
3130,-4.147643089294434
3133,-4.9783501625061035
3136,-4.031501293182373
3139,-3.776486396789551
3142,-3.4366235733032227
3145,-3.651982069015503
3148,-3.7244954109191895
3151,-3.9422645568847656
3154,-4.13142204284668
3157,-4.2732648849487305
3160,-3.503293991088867
3163,-3.6767587661743164
3166,-3.5888123512268066
3169,-4.211653709411621
3172,-3.7998850345611572
3175,-3.5051193237304688
3178,-4.559289455413818
3181,-3.961463212966919
3184,-3.80196475982666
3187,-4.442655563354492
3190,-3.82737135887146
3193,-3.647465705871582
3196,-4.242303848266602
3199,-3.646070957183838
3202,-3.4129340648651123
3205,-4.266289234161377
3208,-4.782439708709717
3211,-4.9173078536987305
3214,-3.787627696990967
3217,-5.898425579071045
3220,-3.5758180618286133
3223,-3.5887465476989746
3226,-3.6553173065185547
3229,-4.227736949920654
3232,-3.5566320419311523
3235,-3.667160749435425
3238,-3.932568073272705
3241,-3.906644344329834
3244,-3.6718809604644775
3247,-3.62801456451416
3250,-3.7130167484283447
3253,-3.77497935295105
3256,-3.747460126876831
3259,-3.653148651123047
3262,-3.93584942817688
3265,-3.5698764324188232
3268,-4.364282608032227
3271,-4.164894104003906
3274,-4.418290138244629
3277,-3.973177671432495
3280,-3.848153829574585
3283,-3.965836524963379
3286,-4.917263984680176
3289,-4.431956768035889
3292,-3.7834320068359375
3295,-3.735074281692505
3298,-3.7847163677215576
3301,-3.9348485469818115
3304,-4.719204902648926
3307,-3.9196083545684814
3310,-3.802976131439209
3313,-3.9857165813446045
3316,-5.299734592437744
3319,-3.786862373352051
3322,-4.345343589782715
3325,-3.9757540225982666
3328,-3.8584601879119873
3331,-3.9094817638397217
3334,-3.8445522785186768
3337,-4.46746826171875
3340,-3.6931490898132324
3343,-4.002411365509033
3346,-3.9486541748046875
3349,-4.737938404083252
3352,-3.6831367015838623
3355,-4.012685775756836
3358,-3.8120744228363037
3361,-4.342136383056641
3364,-4.174881458282471
3367,-4.041177749633789
3370,-3.8690195083618164
3373,-3.4015727043151855
3376,-3.7153568267822266
3379,-3.9397242069244385
3382,-3.381290912628174
3385,-3.9015395641326904
3388,-3.9649229049682617
3391,-3.400331974029541
3394,-4.04326868057251
